CUSTOMER_ID|LIMIT_BAL|SEX|EDUCATION|MARRIAGE|AGE|PAY_0|PAY_2|PAY_3|PAY_4|PAY_5|PAY_6|BILL_AMT1|BILL_AMT2|BILL_AMT3|BILL_AMT4|BILL_AMT5|BILL_AMT6|PAY_AMT1|PAY_AMT2|PAY_AMT3|PAY_AMT4|PAY_AMT5|PAY_AMT6|default.payment.next.month
3129|200000.0|2|3|1|41|-1|-1|-1|-1|-1|2|3000.0|187.0|1306.0|3142.0|3332.0|1686.0|187.0|1306.0|3332.0|1686.0|0.0|1496.0|0
1211|50000.0|1|2|1|57|0|0|0|0|0|0|46540.0|48520.0|47875.0|48110.0|18576.0|15339.0|2770.0|2100.0|1300.0|700.0|1000.0|1000.0|0
22732|100000.0|2|2|1|41|-1|-1|-1|-1|-1|-1|1594.0|4612.0|2098.0|3494.0|2086.0|2379.0|4612.0|2099.0|3494.0|2086.0|2379.0|3219.0|0
11237|380000.0|1|3|1|44|0|0|0|0|0|0|329877.0|309781.0|295550.0|277650.0|264217.0|238368.0|12055.0|9837.0|9154.0|9042.0|8515.0|7745.0|1
5706|30000.0|2|2|1|59|0|0|0|0|0|0|27620.0|27921.0|28585.0|29007.0|29195.0|21335.0|1449.0|1503.0|1315.0|893.0|1000.0|513.0|0
13023|30000.0|2|2|1|47|2|2|2|0|0|0|25893.0|30628.0|29368.0|27769.0|25999.0|26924.0|5501.0|22.0|2000.0|1000.0|2000.0|2039.0|1
10351|50000.0|2|2|2|31|0|0|0|0|0|0|19889.0|20451.0|20426.0|19894.0|20294.0|20145.0|1500.0|1600.0|1600.0|1000.0|900.0|1000.0|0
7170|90000.0|1|2|2|30|-1|-1|-1|-1|-1|-1|2629.0|1076.0|1613.0|993.0|7881.0|1516.0|1079.0|1617.0|996.0|7904.0|1521.0|413.0|0
27760|60000.0|2|2|1|30|0|0|0|0|0|0|65460.0|64128.0|62736.0|59133.0|57662.0|53059.0|2299.0|2232.0|2152.0|2226.0|1908.0|1933.0|1
6654|30000.0|2|2|1|26|0|0|0|0|0|2|29072.0|29276.0|30204.0|28501.0|29687.0|29497.0|1600.0|1500.0|1000.0|4000.0|1900.0|0.0|0
25792|20000.0|1|2|1|32|0|0|0|2|0|0|16354.0|17776.0|21158.0|20511.0|20316.0|20474.0|1700.0|4000.0|0.0|800.0|1000.0|800.0|0
22019|440000.0|1|1|1|62|0|0|0|-1|2|0|14721.0|5049.0|649.0|1108.0|150.0|1075.0|4909.0|499.0|959.0|0.0|925.0|1392.0|0
25560|50000.0|1|1|2|29|0|0|0|0|0|0|51234.0|51227.0|50936.0|49823.0|50990.0|50998.0|2300.0|2100.0|2000.0|2000.0|2100.0|3000.0|0
10993|150000.0|2|1|2|40|0|0|0|0|0|-1|145074.0|152179.0|149313.0|129768.0|136084.0|30312.0|11000.0|6000.0|40000.0|42000.0|34880.0|201277.0|0
4879|170000.0|2|2|2|30|0|0|0|2|0|0|132283.0|121009.0|136552.0|132655.0|134140.0|115892.0|6000.0|19078.0|0.0|5000.0|5000.0|4500.0|1
28601|400000.0|2|1|2|32|1|2|2|2|2|2|29864.0|29104.0|31379.0|27969.0|9513.0|1346.0|0.0|3000.0|0.0|1000.0|0.0|10025.0|1
28976|430000.0|1|1|1|39|-1|-1|0|0|-1|-1|43970.0|46127.0|336073.0|325463.0|38290.0|21800.0|50942.0|325470.0|20003.0|39068.0|21800.0|351282.0|0
